provider_id,full_name,service_category,phone_number,city,area,experience_years,starting_price,rating,total_jobs,availability_status,verified,registration_date
1,Aditya Clicks,Photographer,9324801499,Davanagere,Market Area,17,1884,5.0,299,Busy,Yes,2025-04-19
2,Vikram Auto Tech,Bike Mechanic,9194648117,Mysore,Jayalakshmipuram,19,892,3.8,310,Available,No,2025-08-08
3,Royal Karan Studio,Photographer,9868487519,Belgaum,Tilakwadi,18,669,4.1,650,Available,No,2025-10-01
4,Bright Rahul Services,Electrician,9321118373,Gulbarga,Green Park,16,1883,3.1,774,Available,Yes,2022-07-29
5,Sai Craft House,Carpenter,9690979121,Kolar,Green Park,8,1240,4.7,664,Available,Yes,2024-12-17
6,Royal Rahul Studio,Photographer,9733851441,Bellary,City Center,20,730,4.9,811,Busy,Yes,2023-01-01
7,Neha Cooling,AC Repair Technician,9186006484,Kolar,Market Area,4,2360,4.5,655,Busy,No,2024-02-27
8,Zaid Electricals,Electrician,9474018411,Gulbarga,Station Road,1,2298,3.1,912,Busy,No,2022-06-21
9,Ramesh Furniture,Carpenter,9875376463,Bhadravati,Main Road,15,2191,4.1,905,Available,No,2026-02-21
10,Power Solution Ramesh,Electrician,9214104416,Bellary,Green Park,12,725,3.6,682,Available,Yes,2025-03-02
11,Royal Karan Studio,Photographer,9303050399,Davanagere,City Center,2,678,4.3,330,Available,Yes,2025-02-01
12,Ramesh Makeover,Beautician (Home Service),9285899484,Hubli-Dharwad,Vidyanagar,5,1918,4.9,316,Busy,No,2025-11-11
13,Creative Deepak Interiors,Carpenter,9888921366,Tumkur,Green Park,3,1595,3.9,447,Busy,No,2025-02-21
14,Bright Vihaan Services,Electrician,9192013800,Udupi,Ambalpady,4,767,4.9,92,Busy,No,2023-06-30
15,Ananya PC Hub,Laptop/Computer Repair,9199274271,Hassan,City Center,13,1232,4.8,548,Available,Yes,2025-11-02
16,Aanya Plumbing,Plumber,9300239222,Mysore,Jayalakshmipuram,10,1461,3.6,754,Available,No,2025-04-12
17,Cool Rohan AC Services,AC Repair Technician,9170668673,Hospet,City Center,13,1402,3.3,470,Busy,No,2022-10-22
